,source,target,edge,text
646,P1.6.10,,,
647,P1.12.36,,,
648,P1.7.14,,,
649,V12,R2.4,,
650,V18,R2.10,,
651,V11,R2.3,,
652,V17,R2.9,,
653,V6,R1.7,,
654,V8,R1.8.1,,
655,V1,R1.1,,
656,V4,R1.3,,
657,V15,R2.7,,
658,V3,R1.2,,
659,V3,R1.6,,
660,V14,R2.6,,
661,V7,R1.8,,
662,V9,R2.1,,
663,V13,R2.5,,
664,V16,R2.8,,
665,V2,R1.9,,
666,V5,R1.4,,
667,V10,R2.2,,
